,combinedPval,adjustedPval,cluster
C7orf26,0.0002774067104227562,0.008986337232260451,7
WBP1L,0.00027799007455153735,0.009002756730556715,2
PDE3B,0.0002783047764146618,0.009010468914300771,8
EIF2D,0.0002784316334087933,0.009012096813488472,9
NCAPH,0.00027890092105142816,0.009023778281100252,1
C8G,0.0002789458873426742,0.009023778281100252,4
COX19,0.0002793893331491937,0.00903563987699907,7
RAI14,0.00027958897643132197,0.009039612383246265,0
FAIM,0.00028110938640169003,0.009086273731765897,6
ORC6,0.0002823001163156924,0.009122256163002647,0
BET1,0.000282758814594386,0.0091345704364759,0
ZBTB8OS,0.00028333182341711005,0.009150569758991898,2
ENSGALG00000037980,0.00028452367136067025,0.00918654103385779,0
CADM2,0.0002858983689737471,0.009228394705348513,4
COL2A1,0.00028611386708887743,0.009232818365083323,0
ANXA1,0.00028634416974426813,0.009236973572881235,8
GTF3A,0.0002863996062474339,0.009236973572881235,7
LARP4,0.00028877014047190563,0.009310876530046593,9
EYA4,0.0002893120673148619,0.009325794979193046,0
RHOT2,0.0002904830623251531,0.009360977327906505,7
ACOT8,0.00029064698760472574,0.00936369591947993,4
ENSGALG00000034282,0.0002914574742127751,0.009387237415042977,4
MAP2K6,0.0002917808709368419,0.009395082171700193,2
TCERG1,0.00029201999902739306,0.009400210004716912,8
RBM26,0.00029212584353710547,0.009401045768725835,4
ENSGALG00000006976,0.0002931424825287632,0.009431183789191954,3
CENPT,0.0002933523784985903,0.009435357332308417,1
ENSGALG00000052672,0.0002939504130958781,0.00945200923686943,2
EZH2,0.0002941481543945468,0.009455784083436964,1
GPR149,0.00029581989305926815,0.009506927537073117,2
GNPNAT1,0.0002963162651706819,0.009520279973423716,0
ENSGALG00000021848,0.0002967378482189309,0.009531222895808378,3
SDC3,0.0002969873866359718,0.009536635278992657,0
RWDD3,0.00029707761969999247,0.009536930611306484,0
RAB12,0.00029776373046852544,0.009556349722613686,4
MON1A,0.00029803041368337,0.009562300919369665,6
