,combinedPval,adjustedPval,cluster
Twistnb,0.00011644380821618228,0.0019766208891388525,1
Gm17732,0.00011688239373830456,0.001983869310342815,2
5330417C22Rik,0.00011711824933402504,0.0019876756591475195,2
Cnot11,0.00011734791636475173,0.0019913762350668466,1
Zfand1,0.00011745242293292879,0.001992952334487857,1
Rara,0.00011749623486645433,0.0019934983470772604,3
Arfgap2,0.00011751545904825633,0.001993627125084551,5
Galk2,0.00011757204488194173,0.0019943896480799695,3
St6galnac4,0.00011772720156066896,0.001996823924486051,7
Pold4,0.00011843648462517287,0.0020086555752721344,3
Gm5868,0.0001186405408668545,0.0020119172013977065,2
Kcnj9,0.00011865661040699749,0.0020119906017153533,2
Pan3,0.00011872751062624864,0.002012993627210541,1
Pcsk7,0.00011876919897280125,0.0020135012236460817,4
Pygl,0.00011894905593412552,0.0020163508686065383,6
Txlng,0.00011967500150045218,0.0020284559906860906,1
Ddx41,0.00011993607787186278,0.0020326801018163538,1
Wdr5b,0.00012064498890063113,0.002044492541566791,1
Rhot2,0.00012092352412951257,0.002049010066280198,1
Iqce,0.00012118534195715291,0.0020530818591075334,1
Gm10244,0.00012118778535219477,0.0020530818591075334,2
Lgr6,0.00012153075014909032,0.0020586886094796776,6
Rnf6,0.00012225723071668249,0.0020707902329958412,6
Nr5a2,0.00012294914665633705,0.002082304067383663,2
Ivd,0.0001233208990183421,0.002088393774414713,5
Sgo2a,0.00012515131769541554,0.00211918181112196,5
Nhs,0.0001256898420649577,0.002128090335207811,2
Unc5b,0.0001264453516363062,0.0021406705740510705,3
Rab22a,0.0001280579070395138,0.0021677563463609563,3
Bnc2,0.000128078329896808,0.0021678879085405014,1
Dcp2,0.00013106762870818134,0.002218266466339276,5
Smarcal1,0.00013147005158642422,0.0022248575713466837,1
Inpp5a,0.0001315651227813408,0.0022262465993728013,3
Sult2b1,0.000132799705056863,0.002246915403450169,6
Otop3,0.00013307501998860438,0.0022513513269919448,2
Foxd3,0.00013329146191587427,0.0022547904648148234,2
Tmem55a,0.00013401239163735035,0.0022667621183371277,1
Etfa,0.00013464631033099916,0.002277259799768871,5
Prss16,0.0001346801248816032,0.002277606908518735,7
Dennd1b,0.00013497046896382425,0.002282291751237095,1
Mfsd13a,0.00013503678217752224,0.0022831877789914346,2
Gabrq,0.00013515507955408346,0.0022849624860143618,2
Dkk1,0.00013546961246824196,0.0022900541182052005,3
4930453N24Rik,0.00013559963882325832,0.0022920260514870867,1
Eif2a,0.00013596984418118296,0.002298056915131794,5
Mipep,0.00013640585152030482,0.0023051986136617265,6
Ccna1,0.00013645175136267618,0.0023057469095009472,6
Nup214,0.00013709288699426114,0.0023163523353463313,5
Setd5,0.00013736232788041924,0.0023206760509381506,5
Pepd,0.00013833938548102331,0.002336952608383131,7
Zfp599,0.00013837872028354958,0.002337386666432362,2
Epb41l3,0.00013859750194500364,0.0023408514181779377,1
Helb,0.00013874405156144576,0.002343095639474048,3
Flad1,0.00013937384350048987,0.0023534995621984187,1
Abra,0.00013950829070730197,0.00235553775099018,7
Vamp7,0.00013960536024337777,0.002356944494381091,1
Prom2,0.00013968310359757652,0.0023580247105950422,6
Dnaja3,0.00013977995873992732,0.002359427313000846,1
Kcnj15,0.00014004857044747077,0.002363728532636726,1
Cpd,0.00014009402652059855,0.002364262873114845,3
Tacc1,0.00014021276062003984,0.0023660336454227183,9
Osbpl5,0.00014027118099846358,0.0023667863995732456,1
Prr14,0.00014034497700199378,0.0023677984118677517,1
Nr2c2ap,0.00014057453358917726,0.002371267960461532,6
Zxdb,0.00014057830091962487,0.002371267960461532,2
Trim11,0.00014086159395954034,0.00237581267086848,1
Mycbpap,0.00014091551188277762,0.0023764881599509014,6
Hexim1,0.00014155274832772236,0.0023869999998571366,3
Hrh3,0.00014162945363205282,0.002388058480372725,2
Sgpp1,0.00014191340710878464,0.0023926108850038596,1
Smchd1,0.00014198533837572747,0.002393588124580384,5
Tmem161b,0.00014218020176159918,0.0023966373570919264,4
Tbc1d9b,0.0001424319078047187,0.0024006440545032027,1
Dnajc28,0.00014281723405384916,0.0024069018679747957,4
Jrk,0.00014297484298952945,0.0024093211033752934,1
Snx1,0.0001430398953653489,0.002410180312111161,3
Ercc1,0.00014324438657431493,0.002413388624363321,1
Ermap,0.0001433285886174307,0.002414569867128029,4
Itga6,0.00014384416132928735,0.002423017203536959,3
Ntf3,0.0001439550300244008,0.0024246464163167306,8
AC133868.2,0.00014397183749004228,0.002424691183533408,7
Glra3,0.0001447236949311259,0.002437114015897076,2
Wdr91,0.00014475190244311875,0.0024373495045569645,2
Serpina1c,0.00014523443253966484,0.002445234132272928,1
Sbno2,0.00014544926290205318,0.0024486105369427493,1
Gtf2h1,0.00014576057863002756,0.0024536104313981114,1
Gart,0.0001459870265962948,0.0024571808917738104,5
C1galt1c1,0.00014609495048156784,0.0024587559084743786,1
Dram2,0.00014627171773917702,0.0024614891255909425,1
Nipal1,0.0001467106024353182,0.0024686323364268743,6
Plscr1,0.00014676390924750482,0.0024692868385361427,6
St6galnac2,0.000146785365877089,0.0024694053888801096,6
Lrrc59,0.0001469913474747564,0.002472627918978469,3
Hist1h1d,0.0001470675561039414,0.0024736670432966208,5
Spag4,0.0001472794133343669,0.002476987340657813,1
Trp53rkb,0.00014772801927753765,0.0024842883032287107,1
Pus1,0.00014775481509810007,0.0024844951017976647,1
Nynrin,0.0001481651138042217,0.0024909054245091248,3
Arntl,0.00014815106491139485,0.0024909054245091248,9
Hmcn2,0.00014831788459190864,0.002493229156983221,7
AC124739.2,0.00014852052574898522,0.0024963906741356967,2
Tyw3,0.0001487128016965933,0.002499377365760954,1
Ppp1r15b,0.00014901946571299618,0.0025042857735637445,1
Vrk3,0.0001491695253729164,0.0025065617262524154,5
Nol9,0.00014948470913012102,0.002511611614058223,1
Rfc2,0.00014981518112189285,0.0025169173563077086,5
Grem1,0.00015029223249685142,0.0025246843723832784,1
Tomm34,0.0001504381060142279,0.002526887119214725,1
Kctd9,0.00015103456644349755,0.002536657135697664,5
Wdr66,0.00015133037727188547,0.002541376259159919,6
Ankrd24,0.0001515572083437,0.0025449361553682302,2
Strada,0.00015218235460578988,0.002555183174477626,1
Rpp14,0.00015253189441577497,0.0025608011317305836,1
Mtap,0.0001534044899385023,0.002575198515476537,3
Fam161a,0.00015346546858907573,0.0025759698148873278,6
Rac2,0.0001536095522993719,0.002578135773131361,3
Rnf149,0.00015413662679208961,0.002586728677844293,1
Per1,0.00015439742637979315,0.002590851698298112,3
Hdac9,0.00015460850853576957,0.002594139714280009,1
Zfyve28,0.00015505395060277927,0.0026013589711429757,2
Ska3,0.00015540673666269988,0.0026070224656319515,5
Zfp407,0.00015666268293135222,0.002627834313532109,1
Sufu,0.0001566847803671223,0.0026279477338952456,1
Micalcl,0.0001569410523150072,0.002631988368322795,6
Msln,0.00015699471875341153,0.0026326307378350764,6
Prkaa1,0.00015709295579813265,0.0026340203091155096,1
2810004N23Rik,0.0001589162540356348,0.0026643313487007187,5
Gm17102,0.00016012314132785033,0.0026843029500050585,2
Ngdn,0.00016114908654296656,0.0027012376294254883,1
Tlr2,0.00016117719809027875,0.002701444593414601,3
Tlcd1,0.00016236856798168553,0.0027211466481737038,7
Wdpcp,0.00016269978127869678,0.0027264308323222118,6
Prdm11,0.00016316019893303224,0.002733878904863051,3
Eif3j1,0.0001632187488045389,0.0027345925650140808,5
Larp7,0.00016346930737609622,0.002738522715068084,5
Slc30a5,0.00016379529653476332,0.0027437156256010903,3
Pdk3,0.00016413592987962744,0.0027491528000548188,3
1700003E16Rik,0.0001649707199752326,0.002762864854998641,6
Edn2,0.00016528343099042608,0.002767831508939333,6
Dctd,0.0001653284380828124,0.0027683146682335067,5
Exoc3l2,0.00016585469028207456,0.0027768550748454154,6
Acer1,0.0001676807912289746,0.002807154662318545,6
Ascc3,0.00016862229904968107,0.002822640747677584,1
Wdr31,0.0001686547284278639,0.002822907841520524,6
Isg20,0.00016967302163284348,0.0028396744557154345,7
Otud7a,0.0001697630863232158,0.0028409043334216453,2
Sema3c,0.00017124781710298187,0.002865470764206837,3
Map3k5,0.00017295745681411567,0.002893795406600733,6
Col4a3bp,0.000174765417282563,0.0029237593875727883,1
Cd38,0.00017597134029301298,0.002943646642522595,3
Eppk1,0.0001762710594400696,0.0029483725265369008,6
Dusp12,0.00017710629674216882,0.0029620538812551245,1
Prokr2,0.0001772256735712574,0.0029637611654267947,2
Pskh1,0.00017751269424159943,0.0029682713661432743,3
Gimap4,0.00017783705908724912,0.0029734050749300124,3
Prrg3,0.0001795429632351908,0.003001634628227958,1
Cep350,0.00017963384449903863,0.0030028610370476222,1
Slc25a10,0.00018027295693467948,0.003013250855313886,3
Rbak,0.00018042969253784236,0.0030155765356233936,1
