,combinedPval,adjustedPval,cluster
Gm45847,1.5355642224434973e-07,2.8163408570563937e-06,0
Ypel4,1.542520090547228e-07,2.828809496075775e-06,7
Trim12c,1.552810044991304e-07,2.8473893057954572e-06,8
Slc9a3r1,1.554772857126352e-07,2.850697391194716e-06,3
BC024978,1.5578725487408462e-07,2.8560890723708313e-06,1
Bcas1,1.5896440497265019e-07,2.9140390749041103e-06,6
Dele1,1.5919480977899525e-07,2.917964812591975e-06,4
Dbr1,1.5971224054389666e-07,2.9271502605595518e-06,1
Gm30015,1.5985768264670241e-07,2.9295168508827697e-06,0
Nkx2-2,1.6026189275653024e-07,2.936624600013252e-06,6
Zfp3,1.6122487012104614e-07,2.9539686550440456e-06,0
Grem2,1.6255158774569622e-07,2.9778403015359453e-06,0
Fabp4,1.6256093138267147e-07,2.9778403015359453e-06,7
Kctd21,1.641708107236184e-07,3.0070237815972234e-06,0
Chrng,1.6642036437808372e-07,3.0479166653954054e-06,7
Rsu1,1.680194714470673e-07,3.0768897763193766e-06,3
Pde5a,1.6818612602609306e-07,3.0796275837695653e-06,3
Zfp366,1.6884881337553281e-07,3.0914466785280593e-06,3
Serpina1d,1.6974832695026976e-07,3.1075989637003656e-06,7
Lat2,1.700167915341666e-07,3.112196458646747e-06,0
2010001A14Rik,1.7220550829755155e-07,3.1519400907823643e-06,4
Mthfd1,1.7249125783269648e-07,3.1568484694912172e-06,1
S1pr2,1.7298134002974308e-07,3.165495060463999e-06,3
Atl3,1.7529818963080146e-07,3.207565655845804e-06,3
C1qc,1.7563394538733235e-07,3.2133817751699395e-06,3
Gm10575,1.7579098920972314e-07,3.2159273461161416e-06,0
Akap13,1.7612685054846366e-07,3.221743359897321e-06,3
Gm10544,1.7739092161850323e-07,3.2445354350736033e-06,6
Nudt1,1.7796305540329627e-07,3.254668407019936e-06,1
Fam45a,1.786891498101184e-07,3.267614729362779e-06,5
2610306M01Rik,1.7882394764967557e-07,3.2697467198091727e-06,0
4930469K13Rik,1.8027160075817505e-07,3.2958810294710073e-06,0
Rgs19,1.803793878707438e-07,3.297515924785776e-06,1
Lman2,1.8072182239592394e-07,3.303439640327196e-06,3
Prox1os,1.8078875119176274e-07,3.3043266545008415e-06,0
Slc37a1,1.8094940656965264e-07,3.3069263807520107e-06,2
Wdr5b,1.8098830323332038e-07,3.3073006126846806e-06,4
Dock6,1.810989963546561e-07,3.308986611820665e-06,3
Ckap2,1.8231375875643607e-07,3.330843438387963e-06,1
Poc1a,1.835794112281519e-07,3.353625476447465e-06,1
Zfp790,1.8653231104170942e-07,3.4072223486935357e-06,0
Srpr,1.8729298001396444e-07,3.4207688298065607e-06,3
Ccdc130,1.8761032105629738e-07,3.426216319579345e-06,0
Smo,1.8870492324296606e-07,3.4458559182960455e-06,3
Pald1,1.8886869734835443e-07,3.4484958173594406e-06,3
Slc35b4,1.8915416344356117e-07,3.4533568905108764e-06,5
Prss12,1.905014055392229e-07,3.4775996767219563e-06,5
Kcnn2,1.9115762217580823e-07,3.4892241592760587e-06,0
Maml2,1.932715850694322e-07,3.5274520000661025e-06,1
Inpp5a,1.9350620339420033e-07,3.5313751300569727e-06,7
Ece1,1.936184093054294e-07,3.533063734680388e-06,3
Calcr,1.9382361438058382e-07,3.536448831600481e-06,2
Dct,1.9560475428281876e-07,3.568584363798789e-06,1
Fam241a,1.9589074984338595e-07,3.573438944168627e-06,7
Hebp2,1.9638575055047625e-07,3.5821048226876115e-06,5
Kdf1,1.9647237536890572e-07,3.583320861397282e-06,5
Vps25,2.0018444368830046e-07,3.650651840395483e-06,0
Smyd2,2.0042650339391344e-07,3.654694962231643e-06,7
Dand5,2.0068048955934614e-07,3.6589547149754676e-06,0
Mtln,2.018750300258887e-07,3.680360741332634e-06,1
Elovl1,2.0194901217962524e-07,3.681335723959368e-06,3
Cfap97,2.0432492531252677e-07,3.7242682306446224e-06,5
Gal,2.048534746279529e-07,3.7335231974311695e-06,0
Nup188,2.0531023259273695e-07,3.741467996988725e-06,1
Sel1l3,2.0663514210816913e-07,3.7652303255136367e-06,0
Pcdh12,2.0819321466802876e-07,3.7932360126388498e-06,3
Aldh6a1,2.094193543022982e-07,3.815188883221467e-06,5
Tgds,2.0944883794005165e-07,3.815338906066607e-06,5
Limch1,2.0948576651136364e-07,3.8156245022984585e-06,3
Cinp,2.0999004679556066e-07,3.82442163449564e-06,1
Sept1,2.101569037682438e-07,3.827072318977788e-06,4
Magt1,2.1166665142846597e-07,3.854019247365845e-06,3
Ccdc9,2.1167957497958412e-07,3.854019247365845e-06,4
Tln2,2.1178202347371666e-07,3.85549356781505e-06,3
Fhl3,2.1392252791407884e-07,3.894066654013004e-06,3
Lifr,2.141088173424066e-07,3.896667632254538e-06,5
Hps1,2.1409990202947426e-07,3.896667632254538e-06,5
Pdcd7,2.148398009493846e-07,3.909574881173515e-06,5
Tmem28,2.1492069901540845e-07,3.9106506977809185e-06,6
Fam76a,2.1511457215517282e-07,3.913781758155204e-06,5
Clic1,2.1564954533204173e-07,3.923117509129913e-06,3
Cbx8,2.1634826941063778e-07,3.93543003909856e-06,0
Cytl1,2.171188342448005e-07,3.949046743871138e-06,3
Smad9,2.1752067258518082e-07,3.955954820281661e-06,3
Dph5,2.187985448376395e-07,3.978791935499309e-06,1
Iqcc,2.1885813628053086e-07,3.979472564278962e-06,0
Pelo,2.215934122862251e-07,4.02879979661922e-06,1
Galnt7,2.2208946104385063e-07,4.037409671181394e-06,9
Epb41l4b,2.229117317398277e-07,4.051947657374912e-06,4
Pla2g4a,2.2466514804087012e-07,4.083406759523648e-06,3
C130026L21Rik,2.2599375748555417e-07,4.1071391877645e-06,4
Pla2g12a,2.2632041851711193e-07,4.112659561114931e-06,7
Zc3h12c,2.286346887370172e-07,4.15429368827725e-06,8
Asb6,2.2957292156178255e-07,4.170919312038045e-06,5
9530051G07Rik,2.3007697691479478e-07,4.1796541606599e-06,8
Il10rb,2.3244656166543365e-07,4.22227363520847e-06,3
1110032F04Rik,2.3446943986371593e-07,4.2585873763208655e-06,7
Tyk2,2.3481728528285117e-07,4.264473807471688e-06,4
Golga5,2.3681491245763908e-07,4.300317402908994e-06,5
Setd7,2.3858345676863735e-07,4.331994258540627e-06,7
Prss8,2.38614990877295e-07,4.332128752389304e-06,5
4632404H12Rik,2.3938493109998404e-07,4.345667854407671e-06,0
Hfm1,2.41649196430771e-07,4.386328667028154e-06,0
Stat4,2.422002611801588e-07,4.395887006622888e-06,1
Tmc7,2.4276978072279576e-07,4.4057783310753144e-06,5
Ndst2,2.448315525871436e-07,4.442746267513415e-06,5
Pcsk5,2.459348109606907e-07,4.46231517561029e-06,3
Cd34,2.46662964276112e-07,4.47507479789065e-06,3
St3gal4,2.472247002671679e-07,4.484812926093461e-06,3
Tmtc1,2.473369237199208e-07,4.486395467904173e-06,9
Trmt6,2.488388750609971e-07,4.513183142641831e-06,1
Rnaseh1,2.49700893295568e-07,4.5283601311478115e-06,4
Mars2,2.500298634799947e-07,4.533868130580789e-06,0
C1qtnf6,2.5130319092347975e-07,4.556497607974261e-06,3
Mafk,2.519958102187303e-07,4.568594483251096e-06,7
Egflam,2.525459327218371e-07,4.578105760567704e-06,3
Piezo2,2.5346307919171807e-07,4.594267788229e-06,3
Gm28175,2.5542529158428806e-07,4.629367489557214e-06,0
Etaa1,2.572045614268603e-07,4.66114476133805e-06,1
Gm16136,2.577229230027456e-07,4.670067335410798e-06,5
Abcd1,2.5923434476826657e-07,4.696981036679137e-06,5
Gm12371,2.602150692698757e-07,4.71427474950503e-06,0
Zfp213,2.6126663144054874e-07,4.732848198115664e-06,5
2810004N23Rik,2.6153126253536385e-07,4.737164071486806e-06,1
Aldob,2.623209098828738e-07,4.750987831346985e-06,7
Tead1,2.6447572554211263e-07,4.789531360667533e-06,3
Mrpl16,2.6514719486669946e-07,4.801207118518618e-06,7
B4galt1,2.662440710121672e-07,4.820582886021799e-06,3
Kcp,2.665932363754564e-07,4.826418150507716e-06,5
Map3k11,2.673546972697949e-07,4.839715706146606e-06,3
Nfe2,2.7166668492561996e-07,4.917276546962369e-06,7
Pcsk2os1,2.7396230928289356e-07,4.9583284420452105e-06,0
Ints5,2.742745113248901e-07,4.963478555075659e-06,1
Zfp472,2.747997359664467e-07,4.9724822593298655e-06,0
Cpsf4,2.780638976851435e-07,5.031040032416561e-06,1
Dync1i1,2.789463617869359e-07,5.046498035887375e-06,0
Cpq,2.7906229993490683e-07,5.0480868825617595e-06,3
Cmtm4,2.7917154632461916e-07,5.049554371017054e-06,1
Eif4ebp1,2.7940848912333394e-07,5.05333105784761e-06,3
Hddc3,2.7956382564475746e-07,5.055631216314867e-06,4
