,combinedPval,adjustedPval,cluster
SMG6,5.92606512772598e-05,0.00263046508708932,6
PDIA2,5.94025727020941e-05,0.00263576592868483,8
ZNF326,5.94386174226358e-05,0.00263636665397018,9
ENSGALG00000016635,5.96439508671054e-05,0.00264447278918099,3
WASHC3,5.96789843851919e-05,0.0026450249481983,5
THOC3,5.98569192304943e-05,0.00265190780631676,8
TMEM18,6.06240250360379e-05,0.00268386359579317,9
FGR,6.06028655079083e-05,0.00268386359579317,6
UGP2,6.07099180143233e-05,0.00268665076868905,2
SYNJ2BP,6.08274605300441e-05,0.00269083592306747,1
CROT,6.13849365069807e-05,0.00271447199101253,7
RARB,6.1846721639558e-05,0.00273386032114936,7
MGME1,6.19789154099326e-05,0.00273867032807783,8
TTC8,6.22175965697691e-05,0.00274818030528796,3
INTS12,6.23133560208045e-05,0.00275137257416925,9
PPY,6.23618990849284e-05,0.00275247843919794,8
