,combinedPval,adjustedPval
FMOD,7.5133488006686e-24,3.07553514839779e-21
HADH,8.12236547716145e-24,3.31316565668847e-21
GNG5,8.79007275026752e-24,3.572990981641e-21
LHFPL6,8.9524037991739e-24,3.6262959906053e-21
TXNDC5,9.20232735359224e-24,3.70173494887909e-21
MRPL33,9.18496669401243e-24,3.70173494887909e-21
ENSGALG00000035206,1.10082269581407e-23,4.41290787057703e-21
ATP1B1,1.23004736538102e-23,4.91399069530326e-21
NDUFB10,1.34039329003693e-23,5.3364798919232e-21
ACTN2,1.39638815099101e-23,5.54043696654574e-21
ENSGALG00000029862,1.82048564474448e-23,7.19855640493755e-21
PMP22,2.68252750316325e-23,1.05712818248431e-20
NPM1,2.74450168846188e-23,1.07789702907336e-20
LAPTM4A,3.39812152462291e-23,1.33011116981195e-20
chPKCI,4.29501635570987e-23,1.67553707335086e-20
S100A1,4.5654180936635e-23,1.77506741223375e-20
NDUFB2,4.88107683340544e-23,1.89147180937502e-20
ACTN1,6.75022993981797e-23,2.6070991915798e-20
ENSGALG00000040371,7.01672742373738e-23,2.70105325313468e-20
TPM3,7.14702296289041e-23,2.74212995251519e-20
MFAP5,7.98184817701121e-23,3.05235725333038e-20
MYL12A,8.3020488526899e-23,3.16439674375035e-20
DAP,9.14051146086635e-23,3.46939855205082e-20
RHOA,9.16193243448402e-23,3.46939855205082e-20
AQP1,1.01615639074064e-22,3.82867406325301e-20
BDH1A,1.01765692438995e-22,3.82867406325301e-20
POLR2L,1.13168746161798e-22,4.24395034604353e-20
HDGF,1.19225443008295e-22,4.456706553904e-20
IGFBP4,1.45737653625085e-22,5.43028549146831e-20
NDUFA2,1.52581866497896e-22,5.6671416680605e-20
GHITM,1.54241760188963e-22,5.71054828867192e-20
RRBP1,1.54921141403232e-22,5.71749268882956e-20
GPX7,1.69399178401593e-22,6.2320323734007e-20
RARRES2,1.78772643899857e-22,6.55612589373186e-20
HMGN4,1.87470469961512e-22,6.85348129469358e-20
LRRC17,2.1663405536542e-22,7.89480723324033e-20
FN1,2.37147685010652e-22,8.61537915004079e-20
PRDX4,2.38022270106227e-22,8.62021393427457e-20
CHGB,2.46043867568361e-22,8.8830510315731e-20
OGN,2.5939464391852e-22,9.33606712785421e-20
COTL1,2.74081303004197e-22,9.83421918828242e-20
TMEM158,2.89090258856216e-22,1.0340834337384e-19
ZNF706,3.31887900090506e-22,1.18353008723362e-19
OLFM1,3.53437597191939e-22,1.25652309983174e-19
COLEC11,3.72933353563822e-22,1.32179123142517e-19
TNC,3.81083896698556e-22,1.34657387082199e-19
SORBS2,3.92983096731932e-22,1.38388692311688e-19
ENSGALG00000051598,3.94024399319874e-22,1.38388692311688e-19
PSMB4,4.09794194162227e-22,1.4349382127868e-19
SSR3,4.22659742604078e-22,1.47554389774908e-19
OSTC,4.67946804158722e-22,1.62875402691365e-19
ETFA,5.87921496091568e-22,2.04023416658064e-19
DSTN,5.93249224022279e-22,2.04650477182373e-19
NDFIP1,5.92554518126381e-22,2.04650477182373e-19
FKBP3,6.16204741856525e-22,2.11940434034069e-19
SERPINH1,6.81412578108605e-22,2.33676980054876e-19
SEM1,7.1745833442718e-22,2.45314518331647e-19
URM1,7.95495712429167e-22,2.71199539588683e-19
BTF3,9.88193293906141e-22,3.35908721495161e-19
